liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
2.0,2.0,45.34,5809583.075,6425906.257,Poznań,ul. Jeżycka,39,,,,,1/1,True,2023-08-31,45.34,Jeżyce,0,2023,2023.5833333333333,10676.14680194089,0,0,0,1,0,0,8
3.0,2.0,64.39,5809583.075,6425906.257,Poznań,ul. Jeżycka,39,,,,,1/1,True,2023-08-31,64.39,Jeżyce,0,2023,2023.5833333333333,9834.518403478802,0,0,0,1,0,0,8
2.0,6.0,46.71,5809583.075,6425906.257,Poznań,ul. Jeżycka,39,,,,,1/1,True,2023-08-31,46.71,Jeżyce,0,2023,2023.5833333333333,11029.374438021838,0,0,0,1,0,0,8
2.0,7.0,44.47,5809583.075,6425906.257,Poznań,ul. Jeżycka,39,,,,,1/1,True,2023-08-31,44.47,Jeżyce,0,2023,2023.5833333333333,11367.717922194739,0,0,0,1,0,0,8
3.0,3.0,64.44,5809583.075,6425906.257,Poznań,ul. Jeżycka,39,,,,,1/1,True,2023-08-31,64.44,Jeżyce,0,2023,2023.5833333333333,10043.412290502794,0,0,0,1,0,0,8
2.0,2.0,52.19,5813347.34,6429028.889,Poznań,ul. Czarnucha,23,,,,,1/1,True,2023-07-27,48.25,Naramowice,1,2023,2023.5,7674.066400000001,0,0,0,1,0,0,15
3.0,2.0,48.24,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7A,,,,,1/1,True,2023-09-05,48.24,Jeżyce,0,2023,2023.6666666666667,16468.41887363184,0,0,0,1,0,0,8
3.0,4.0,46.6,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7B,,,,,1/1,True,2023-09-05,46.6,Jeżyce,0,2023,2023.6666666666667,17604.357610300427,0,0,0,1,0,0,8
3.0,1.0,49.5,5808938.305,6426731.257,Poznań,ul. Seweryna Mielżyńskiego,20,,,,,1/1,True,2023-09-25,49.5,Stare Miasto,0,2023,2023.6666666666667,15174.735868444444,0,0,0,1,0,0,26
2.0,6.0,29.39,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-09-05,29.39,Jeżyce,0,2023,2023.6666666666667,17221.66719579721,0,0,0,1,0,0,8
