liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,odl_do_centrum,metry_na_izbe,wibor_3m,srednie_wynagrodzenie,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
5.0,1.0,81.9,5805840.078,6429794.764,Poznań,os. Orła Białego,119,,,,,1/1,True,2011-02-01,81.9,Żegrze,0,2011,2011.0833333333333,6941.248592538134,3.7181102373600585,16.380000000000003,4.0,3311.0,0,0,1,0,0,0,40
3.0,3.0,53.68,5809425.025,6425174.286,Poznań,ul. Piotra Wawrzyniaka,1,,,,,1/1,True,2011-01-11,53.68,Jeżyce,0,2011,2011.0,10287.737295498024,2.265998949386515,17.893333333333334,3.95,3311.0,0,0,1,0,0,0,8
4.0,8.0,66.47,5805918.077,6429645.048,Poznań,os. Stare Żegrze,185,,,,,1/1,True,2011-01-27,66.47,Żegrze,0,2011,2011.0,7452.939853308962,3.5597335037984084,16.6175,3.95,3311.0,0,0,1,0,0,0,40
3.0,3.0,43.75,5806418.826,6422576.509,Poznań,ul. Promienista,166b,,,,,1/1,True,2011-01-03,42.2,Grunwald Południe,1,2011,2011.0,7890.32452568849,5.168155955272899,14.066666666666668,3.95,3311.0,0,0,1,0,0,0,3
3.0,2.0,44.0,5809856.112,6425557.329,Poznań,ul. Kościelna,39f,,,,,1/1,True,2011-01-25,44.0,Jeżyce,0,2011,2011.0,10520.724287190185,2.143109039819056,14.666666666666666,3.95,3311.0,0,0,1,0,0,0,8
4.0,2.0,94.09,5813282.755,6423506.916,Poznań,ul. Horacego,7,,,,,1/1,True,2011-01-26,71.89,,1,2011,2011.0,8811.494596675897,6.030789665199483,17.9725,3.95,3311.0,0,0,1,0,0,0,-1
3.0,3.0,44.16,5804692.335,6425555.33,Poznań,ul. Klonowa,9,,,,,1/1,True,2011-01-25,44.16,Zielony Dębiec,0,2011,2011.0,8974.58174002621,4.244608638470169,14.719999999999999,3.95,3311.0,0,0,1,0,0,0,36
4.0,0.0,58.5,5806792.064,6428393.869,Poznań,os. Jagiellońskie,63,,,,,1/1,True,2011-02-01,58.5,Rataje,0,2011,2011.0833333333333,7218.89853623966,2.1039952382287748,14.625,4.0,3311.0,0,0,1,0,0,0,24
4.0,3.0,47.2,5807018.984,6428498.266,Poznań,os. Jagiellońskie,38,,,,,1/1,True,2011-01-11,47.2,Rataje,0,2011,2011.0,9119.21239879851,1.9785232682500513,11.8,3.95,3311.0,0,0,1,0,0,0,24
3.0,3.0,49.5,5813658.27,6426120.588,Poznań,os. Bolesława Chrobrego,15,,,,,1/1,True,2011-01-31,49.5,Piątkowo,0,2011,2011.0,8531.425542828689,5.2141149565983325,16.5,3.95,3311.0,0,0,1,0,0,0,21
